"id";"title";"slug";"acronym";"url";"description";"base_api_url";"machine_documentation_url";"technical_documentation_url";"business_documentation_url";"authorization_request_url";"availability";"rate_limiting";"access_type";"license";"organization";"organization_id";"owner";"owner_id";"featured";"created_at";"metadata_modified_at";"archived";"tags";"datasets";"metric.discussions";"metric.discussions_open";"metric.followers";"metric.followers_by_months";"metric.views"
"6661e09c7230a8fc3b1ec229";"API Melodi";"api-melodi";"";"https://www.data.gouv.fr/dataservices/api-melodi/";"L'API Melodi donne accès aux données ouvertes répertoriées dans le catalogue des jeux de données de l'Insee (<https://catalogue-donnees.insee.fr/fr/catalogue/recherche>)

Les services actuellement disponibles permettent d'interroger les jeux de données avec, d'une part, la description des jeux de données et la structure des données diffusées, et, d'autre part, les données elles-mêmes qui peuvent être filtrées au moment de la requête sur de multiples critères ou être téléchargées en intégralité pour chaque jeu de données.

Les données disponibles par l'API Melodi font l'objet d'un travail d'harmonisation de métadonnées, ainsi la documentation des variables peut différer de celle présente sur les publications du site insee.fr.

Limites de responsabilité : L’Insee décline toute responsabilité quant à la pertinence des informations fournies au regard des besoins particuliers des internautes et, a fortiori, quant aux utilisations qu’ils sont susceptibles d’en faire.

De même, l’Insee ne prend aucun engagement concernant les sites auxquels il donne accès au travers de son site, et en particulier ne saurait être responsable de leur contenu. Par ailleurs, les risques liés à leur utilisation incombent pleinement à l’internaute, et notamment ceux liés à l’existence de virus ou de tout autre parasite de nature destructive.

Plus d'informations ici : <https://portail-api.insee.fr/catalog/api/a890b735-159c-4c91-90b7-35159c7c9126/doc>
";"https://api.insee.fr/melodi/";"";"https://portail-api.insee.fr/catalog/api/a890b735-159c-4c91-90b7-35159c7c9126/doc?page=ee625968-272a-4637-a259-68272aa63766";"";"";99.9;"hors inscription quota de 30 appels par minute en mode anonyme";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Institut national de la statistique et des études économiques (Insee)";"534fff81a3a7292c64a77e5c";"";"";False;"2024-06-06T16:15:24.890000";"2025-10-21T07:19:06.916000";False;"hvd,statistiques";"68c2111e41df13d1b472439d,68c2111d41df13d1b472439c,68c2111c41df13d1b472439b,687ae011ddfd9c43eb553747,685f362f0b98276b88cfee72,685f362b0b98276b88cfee71,685f36280b98276b88cfee70,685d96290b33ade4e2634262,685d96290b33ade4e2634261,685d96280b33ade4e2634260,685d96280b33ade4e263425f,685d96270b33ade4e263425e,685d96260b33ade4e263425d,685d96260b33ade4e263425c,685d96250b33ade4e263425b,685d96250b33ade4e263425a,685d96240b33ade4e2634259,685d96240b33ade4e2634258,685d96230b33ade4e2634257,685d96220b33ade4e2634256,685d96220b33ade4e2634255,685d96210b33ade4e2634254,683f8e749bf2fdce342f1778,683f8e749bf2fdce342f1777,683f8e749bf2fdce342f1776,683f8e739bf2fdce342f1775,683f8e739bf2fdce342f1774,68195347116615dea69463f1,68195347116615dea69463f0,68195346116615dea69463ef,68195344116615dea69463ee,68195343116615dea69463ed,68195343116615dea69463ec,68195343116615dea69463eb,68195342116615dea69463ea,68195342116615dea69463e9,68082f318080d9dd71622e36,68082f308080d9dd71622e35,67fef416e34b8865d4b1c5af,67fef416e34b8865d4b1c5ae,67fef416e34b8865d4b1c5ad,67fef415e34b8865d4b1c5ac,67fef415e34b8865d4b1c5ab,67f85d14377ef83a019ac740,67f85d13377ef83a019ac73f,67f5bafba369d275ea8b8c6c,67edcfde16b9f5ccba6ca1e5,67edcfde16b9f5ccba6ca1e4,67edcfde16b9f5ccba6ca1e3,67edcfdd16b9f5ccba6ca1e2,67edcfdd16b9f5ccba6ca1e1,67edcfdd16b9f5ccba6ca1e0,67edcfdc16b9f5ccba6ca1df,67edcfdc16b9f5ccba6ca1de,67edcfda16b9f5ccba6ca1dd,67edcfda16b9f5ccba6ca1dc,67edcfd916b9f5ccba6ca1db,67edcfd916b9f5ccba6ca1da,67e34386efc54deb6b388bac,67e34386efc54deb6b388bab,67e34385efc54deb6b388baa,67e34385efc54deb6b388ba9,67e34385efc54deb6b388ba8,67e34384efc54deb6b388ba7,67e34383efc54deb6b388ba6,67d4c55efe1f619a6624f7cf,67b67085f4e352ac804a8441,67b67084f4e352ac804a8440,67b67084f4e352ac804a843f,67660552c8588734a16a6a61,67660551c8588734a16a6a60,6763620f9e1b5810f15d9104,66fa9bc49c0ed66735436e01,6676141f20b34935aec4be13,666cdab72f594c83c2c4be20,666cdab72f594c83c2c4be1f,666cdab72f594c83c2c4be1e,66685856500cccd9a7089115,66685856500cccd9a7089114,66685856500cccd9a7089113,66685856500cccd9a7089112,66685855500cccd9a7089111,66685855500cccd9a7089110,66685855500cccd9a708910f,66685855500cccd9a708910e,68f6cf2c2fff7379fec96d9e";0;0;4;"{'2024-10': 0, '2024-11': 1, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 1, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0}";8775
"6661e3b3ac0706063080aa40";"API Données Radar";"api-donnees-radar";"";"https://www.data.gouv.fr/dataservices/api-donnees-radar/";"Obtenir les données publiques Radar pour la France.";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesRadar";"";"https://portail-api.meteofrance.fr/web/fr/api/test/fd7d27d0-9f8e-491a-94ce-8d281edb201d/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"850 req/5mins";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:28:35.375000";"2025-07-09T11:37:47.080000";False;"hvd,meteorologiques";"676572407ce86a7705199653";0;0;0;0;1823
"6661e4099e5c08ae03ef7904";"API Bulletin Vigilance";"api-bulletin-vigilance";"";"https://www.data.gouv.fr/dataservices/api-bulletin-vigilance/";"Flux de la Vigilance de Météo-France qui indique le niveau de danger d'une situation météorologique pour chaque département. Formats téléchargeables : un produit """"bulletin"""" de Vigilance, au format JSON : ce produit contient le texte des bulletins de suivi diffusés, qu’ils soient nationaux, zonaux (au sens zones de défense) ou départementaux. un produit """"carte"""" de Vigilance, au format JSON : ce produit contient les prévisions de risque, dont la chronologie des phénomènes, de niveau national et départemental. trois vignettes des cartes nationales de Vigilance à haute définition et au format PNG pour J et J+1, J seul, J+1 seul.";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesVigilance";"";"https://portail-api.meteofrance.fr/web/fr/api/test/ed0ad072-a309-4d13-b518-df4e9f8dbbea/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"60 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:30:01.725000";"2025-07-09T11:38:34.823000";False;"hvd,meteorologiques";"675bf4442d16a89b0a767b24";0;0;1;"{'2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0}";4216
"6661e49fc3daccd9c8bc38f7";"API Données d'observation";"api-donnees-dobservation";"";"https://www.data.gouv.fr/dataservices/api-donnees-dobservation/";"Obtenir les données publiques d'Observation pour la France.";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesObservation";"";"https://portail-api.meteofrance.fr/web/fr/api/test/8aab9bc4-6de1-48ee-a2b0-42007b632d5e/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"50 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:32:31.299000";"2025-07-09T11:37:16.487000";False;"hvd,meteorologiques";"6569b51ae64326786e4e8e1a,6569b3d7d193b4daf2b43edc,6569b4473bedf2e7abad3b72,6569ad61106d1679c93cdf77";0;0;7;"{'2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 1, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0}";3223
"6661e55bc3f2adbe3fe869df";"API Données climatologiques";"api-donnees-climatologiques";"";"https://www.data.gouv.fr/dataservices/api-donnees-climatologiques/";"Obtenir les données publiques de Climatologie";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesClimatologie";"";"https://portail-api.meteofrance.fr/web/fr/api/test/a5935def-80ae-4e7e-83bc-3ef622f0438d/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"50 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:35:39.256000";"2025-07-09T11:37:30.394000";False;"hvd,meteorologiques";"6569b2c4f1937611d4c8b1a3,6569b00fe24fc9e1e482f74e,65e040c50a5c6872ebebc711,65e04035010927c797072b29,6569b27598256cc583c917a7";0;0;1;"{'2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0}";2393
"6661e60fda535e9773c510ca";"API Sirene open data";"api-sirene-open-data";"";"https://www.data.gouv.fr/dataservices/api-sirene-open-data/";"L'[API Sirene](https://portail-api.insee.fr/catalog/api/2ba0e549-5587-3ef1-9082-99cd865de66f?aq=ALL) permet d'interroger le répertoire Sirene des entreprises et des établissements, géré par l'Insee.

### Les données du répertoire Sirene depuis 1973

&#x20;

API Sirene donne accès aux informations concernant les entreprises et les établissements enregistrés au répertoire interadministratif Sirene depuis sa création en 1973, y compris les unités fermées. La recherche peut être unitaire, multicritère, phonétique et porter sur les données courantes et historisées. Les services actuellement disponibles interrogent :

* les unités légales (siren)
* les établissements (siret).

*Le service informations* permet de connaître les dates de dernières mises à jour. *Le service Liens de succession* informe sur les prédécesseurs et les successeurs des établissements.

Les personnes inscrites au répertoire ayant demandé à bénéficier du **statut de diffusion partielle** conformément à l'article R123-232-1 du code de commerce ne doivent avoir leurs informations personnelles ni rediffusées entièrement, ni utilisées à des fins de prospection.

Le *service nonDiffusibles* anciennement proposé est, depuis le 21 mars 2023, plus disponible. La modalité non diffusible ""**N**"" n’existe plus, et le statut de diffusion des unités antérieurement non diffusibles ""N"" a été automatiquement converti en statut de diffusion partielle , ""**P**"". Il n’y a donc plus d’unités non diffusibles ""N"" dans la base Sirene. De manière transitoire, le service reste encore accessible mais renvoie un code 404.

La lettre **Sirene open data actualités** est destinée aux utilisateurs des données Sirene. Pour vous abonner, [suivez ce lien](https://insee.fr/fr/information/1405555). Pour consulter les précédents numéros, [cliquez ici](https://insee.fr/fr/information/3711739).
";"https://portail-api.insee.fr/catalog/api/2ba0e549-5587-3ef1-9082-99cd865de66f?aq=ALL";"https://api-apimanager.insee.fr/portal/environments/DEFAULT/apis/2ba0e549-5587-3ef1-9082-99cd865de66f/pages/6548510e-c3e1-3099-be96-6edf02870699/content";"https://portail-api.insee.fr/catalog/api/2ba0e549-5587-3ef1-9082-99cd865de66f/doc?page=52d26f24-963b-4fc0-926f-24963b4fc021";"https://portail-api.insee.fr/catalog/api/2ba0e549-5587-3ef1-9082-99cd865de66f?aq=ALL";"";99.5;"30 requêtes par minute pour les usages open data";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Institut national de la statistique et des études économiques (Insee)";"534fff81a3a7292c64a77e5c";"";"";False;"2024-06-06T16:38:39.597000";"2025-05-21T12:15:29.918000";False;"entreprises-et-propriete-dentreprises,hvd";"5b7ffc618b4c4169d30727e0";9;9;118;"{'2024-11': 6, '2024-12': 7, '2025-01': 9, '2025-02': 10, '2025-03': 9, '2025-04': 17, '2025-05': 1, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0}";43724
"6661e6ddef927fd18605affd";"API Modèle AROME";"api-modele-arome";"";"https://www.data.gouv.fr/dataservices/api-modele-arome/";"Données du modèle opérationnel français de prévision atmosphérique à aire limitée et à échelle fine Arome. Champs d'analyse et de prévision en points de grille. Les paramètres, niveaux, échéances et domaines sont paramétrables selon diverses résolutions. Formats téléchargeables : GRIB V2, GEOTIFF ou image PNG.";"https://portail-api.meteofrance.fr/web/fr/api/AROME";"";"https://portail-api.meteofrance.fr/web/fr/api/test/ed0ad072-a309-4d13-b518-df4e9f8dbbea/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"50 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:42:04.891000";"2025-07-09T11:37:01.507000";False;"hvd,meteorologiques";"66d02b7174375550d7b10f3f";0;0;2;"{'2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0, '2025-10': 0, '2025-11': 0}";3074
"6661e72ec980db6ce7ac1c6b";"API Modèle AROME Prévision Immédiate";"api-modele-arome-prevision-immediate";"";"https://www.data.gouv.fr/dataservices/api-modele-arome-prevision-immediate/";"Résultats du modèle opérationnel de prévision immédiate atmosphérique à échelle fine Arome sous forme de champs d'analyse et de prévision en points de grille.";"https://portail-api.meteofrance.fr/web/fr/api/AROME-PI";"";"https://portail-api.meteofrance.fr/web/fr/api/test/5b715300-4f8e-46a0-9e45-feceece08280/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"50 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:43:26.638000";"2025-07-09T11:36:41.800000";False;"hvd,meteorologiques";"66d02b7174375550d7b10f3f";0;0;1;"{'2024-09': 0, '2024-10': 0, '2024-11': 0, '2024-12': 0, '2025-01': 0, '2025-02': 0, '2025-03': 0, '2025-04': 0, '2025-05': 0, '2025-06': 0, '2025-07': 0, '2025-08': 0, '2025-09': 0}";1332
"6661e7cb8af1259a25f37bf7";"API Champs statistiques de la prévision d'ensemble ARPEGE";"api-champs-statistiques-de-la-prevision-densemble-arpege";"";"https://www.data.gouv.fr/dataservices/api-champs-statistiques-de-la-prevision-densemble-arpege/";"Obtenir les données publiques de statistiques de la prévision d'ensemble du modèle global français ARPEGE.";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesStatsPEARPEGEhttps://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesStatsPEARPEGE";"";"https://portail-api.meteofrance.fr/web/fr/api/test/e4817183-fd86-4609-9e25-f294bcd7c262/3a6f8ff3-b40c-4f1c-a7fa-310d3d964de8";"";"";"";"50 req/min";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:46:03.138000";"2025-07-09T11:38:24.398000";False;"hvd,meteorologiques";"5dfa5a996f44410a947a66d1,66d02b7174375550d7b10f3f";0;0;0;0;586
"6661e816ac2b7fd25b0f16eb";"API Package Radar";"api-package-radar";"";"https://www.data.gouv.fr/dataservices/api-package-radar/";"Obtenir les paquets de données publiques Radar pour la France";"https://portail-api.meteofrance.fr/web/fr/api/DonneesPubliquesPaquetRadar";"";"https://portail-api.meteofrance.fr/web/fr/api/test/541ab759-30a1-4172-9db0-506973b3fb2f/220a348d-c909-42e8-a011-0a9ef7056a72";"";"";"";"850 req/5mins";"open_with_account";"Licence Ouverte / Open Licence version 2.0";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";False;"2024-06-06T16:47:17.994000";"2025-07-09T11:35:40.692000";False;"hvd,meteorologiques";"676572407ce86a7705199653";0;0;0;0;691
